iter	Passed	Remaining
157	9151	48768
158	9153	48415
159	9155	48064
160	9226	48082
161	9229	47743
162	9248	47489
163	9250	47155
164	9328	47205
165	9330	46878
166	9432	47051
167	9436	46730
168	9437	46406
169	9439	46086
170	9442	45776
171	9447	45478
172	9449	45170
173	9530	45243
174	9725	45847
175	9737	45589
176	9739	45285
177	9741	44986
178	9743	44691
179	9813	44707
180	9819	44431
181	9821	44143
182	9823	43856
183	9825	43573
184	9827	43292
185	9828	43013
186	9830	42738
187	9832	42466
188	9833	42197
189	9835	41931
190	9837	41667
191	9839	41406
192	9841	41149
193	9843	40895
194	9845	40644
195	9939	40773
196	10022	40853
197	10024	40605
198	10031	40380
199	10034	40138
200	10036	39897
201	10125	40000
202	10129	39769
203	10131	39532
204	10133	39298
205	10135	39065
206	10136	38833
207	10138	38602
208	10139	38375
209	10226	38470
210	10227	38245
211	10229	38024
212	10231	37802
213	10232	37583
214	10333	37727
215	10334	37511
216	10422	37606
217	10424	37392
218	10425	37179
219	10427	36968
220	10613	37412
221	10620	37218
222	10632	37048
223	10720	37138
224	10734	36975
225	10737	36773
226	10814	36825
227	10816	36623
228	10818	36422
229	10825	36241
230	10939	36416
231	10941	36220
232	11226	36954
233	11228	36756
234	11335	36899
235	11337	36702
236	11436	36817
237	11502	36827
238	11631	37034
239	11632	36837
240	11635	36643
241	11636	36448
242	11638	36256
243	11714	36294
244	11715	36103
245	11716	35913
246	11719	35729
247	11721	35543
248	11724	35362
249	11814	35443
250	11816	35260
251	11817	35078
252	11819	34897
253	11822	34722
254	11825	34548
255	11826	34371
256	11830	34201
257	11920	34282
258	11922	34110
259	11926	33945
260	11929	33777
261	11931	33608
262	11933	33442
263	11996	33444
264	12008	33306
265	12010	33142
266	12012	32978
267	12014	32814
268	12016	32654
269	12023	32508
270	12025	32348
271	12027	32190
272	12029	32034
273	12031	31878
274	12033	31723
275	12035	31570
276	12092	31561
277	12121	31481
278	12123	31329
279	12217	31415
280	12409	31751
281	12411	31601
282	12413	31450
283	12602	31773
284	12605	31625
285	12708	31726
286	12711	31578
287	12713	31431
288	12716	31284
289	12717	31136
290	12722	30997
291	12724	30852
292	12815	30922
293	12817	30779
294	12819	30636
295	12822	30496
296	12823	30354
297	12912	30418
298	12915	30279
299	12999	30331
300	13001	30193
301	13111	30303
302	13113	30164
303	13115	30027
304	13117	29891
305	13120	29755
306	13121	29620
307	13124	29487
308	13126	29353
309	13406	29840
310	13408	29705
311	13410	29571
312	13420	29457
313	13422	29323
314	13497	29351
315	13498	29219
316	13501	29090
317	13515	28986
318	13517	28856
319	13519	28727
320	13520	28600
321	13586	28608
322	13589	28482
323	13607	28390
324	13609	28265
325	13611	28140
326	13612	28016
327	13698	28065
328	13700	27942
329	13798	28014
330	13800	27892
331	13802	27771
332	13804	27650
333	13901	27718
334	13903	27598
335	13905	27479
336	13907	27360
337	13909	27242
338	13910	27124
339	13912	27006
340	13914	26890
341	13915	26773
342	13917	26658
343	13919	26543
344	13985	26552
345	13993	26449
346	13994	26336
347	13995	26222
348	13997	26110
349	13999	25998
350	14000	25887
351	14002	25777
352	14004	25668
353	14006	25559
354	14007	25450
355	14009	25342
356	14010	25235
357	14012	25128
358	14101	25177
359	14104	25074
360	14105	24968
361	14106	24862
362	14108	24757
363	14110	24654
364	14111	24550
365	14113	24447
366	14293	24652
367	14295	24550
368	14297	24448
369	14299	24347
370	14300	24245
371	14302	24145
372	14304	24045
373	14306	23945
374	14307	23846
375	14309	23747
376	14311	23650
377	14411	23714
378	14413	23617
379	14415	23519
380	14481	23526
381	14483	23431
382	14488	23340
383	14492	23247
384	14493	23152
385	14496	23058
386	14498	22964
387	14499	22870
388	14501	22777
389	14503	22684
390	14504	22592
391	14506	22499
392	14508	22408
393	14510	22318
394	14512	22227
395	14513	22137
396	14576	22140
397	14589	22067
398	14702	22145
399	14704	22056
400	14706	21968
401	14782	21990
402	14898	22070
403	14901	21982
404	14902	21894
405	14905	21806
406	14906	21719
407	14908	21632
408	14910	21545
409	15020	21615
410	15022	21528
411	15025	21443
412	15027	21358
413	15029	21273
414	15115	21307
415	15117	21222
416	15119	21137
417	15120	21053
418	15122	20969
419	15214	21010
420	15216	20926
421	15218	20843
422	15318	20895
423	15320	20813
424	15322	20730
425	15326	20651
426	15328	20569
427	15408	20592
428	15410	20511
429	15412	20429
430	15414	20349
431	15415	20269
432	15417	20188
433	15419	20109
434	15421	20029
435	15422	19950
436	15425	19872
437	15427	19794
438	15453	19748
439	15515	19747
440	15525	19679
441	15527	19602
442	15642	19668
443	15644	19591
444	15647	19515
445	15649	19439
446	15651	19363
447	15653	19287
448	15734	19308
449	15735	19232
450	15737	19156
451	15742	19085
452	15744	19011
453	15746	18937
454	15748	18863
455	15933	19008
456	15936	18935
457	16024	18963
458	16027	18890
459	16029	18817
460	16032	18744
461	16141	18796
462	16144	18724
463	16146	18651
464	16237	18681
465	16239	18609
466	16241	18536
467	16310	18541
468	16312	18469
469	16327	18411
470	16328	18339
471	16330	18268
472	16342	18208
473	16411	18212
474	16414	18142
475	16416	18072
476	16418	18001
477	16420	17931
478	16421	17861
479	16423	17792
480	16426	17723
481	16428	17655
482	16429	17586
483	16431	17517
484	16432	17449
485	16434	17381
486	16436	17313
487	16438	17246
488	16510	17253
489	16512	17186
490	16518	17123
491	16520	17057
492	16524	16993
493	16615	17019
494	16617	16953
495	16622	16890
496	16629	16830
497	16633	16766
498	16634	16701
499	16636	16636
500	16638	16571
501	16704	16571
502	16706	16507
503	16716	16451
504	16733	16402
505	16735	16338
506	16748	16285
507	16750	16222
508	16752	16159
509	16938	16273
510	16940	16210
511	16943	16149
512	16945	16086
513	16947	16024
514	16950	15962
515	17039	15982
516	17041	15921
517	17055	15869
518	17056	15807
519	17058	15746
520	17060	15684
521	17061	15623
522	17158	15649
523	17160	15588
524	17162	15528
525	17229	15525
526	17231	15465
527	17249	15419
528	17251	15359
529	17345	15382
530	17348	15322
531	17438	15340
532	17440	15280
533	17443	15222
534	17445	15162
535	17447	15103
536	17449	15045
537	17530	15054
538	17551	15011
539	17553	14952
540	17640	14966
541	17643	14908
542	17647	14852
543	17847	14960
544	17849	14901
545	17851	14843
546	18031	14932
547	18052	14889
548	18128	14892
549	18139	14841
550	18141	14783
551	18144	14725
552	18145	14667
553	18147	14609
554	18150	14552
555	18151	14495
556	18223	14493
557	18225	14436
558	18233	14384
559	18236	14328
560	18314	14331
561	18343	14296
562	18345	14239
563	18347	14183
564	18423	14184
565	18425	14128
566	18427	14072
567	18429	14016
568	18439	13967
569	18441	13912
570	18443	13856
571	18444	13801
572	18446	13746
573	18508	13735
574	18517	13686
575	18522	13634
576	18524	13580
577	18526	13525
578	18527	13471
579	18529	13418
580	18531	13364
581	18533	13311
582	18535	13257
583	18536	13204
584	18538	13151
585	18540	13098
586	18541	13045
587	18543	12993
588	18545	12941
589	18611	12933
590	18616	12883
591	18617	12831
592	18619	12779
593	18622	12728
594	18626	12678
595	18629	12628
596	18812	12699
597	18814	12647
598	18815	12596
599	18817	12545
600	18820	12495
601	18822	12444
602	18827	12395
603	18829	12345
604	18831	12295
605	18833	12244
606	18898	12235
607	18909	12191
608	18924	12150
609	18925	12100
610	18927	12050
611	18928	12000
612	18930	11951
613	18932	11901
614	18933	11852
615	19009	11849
616	19013	11802
617	19015	11754
618	19017	11705
619	19105	11709
620	19107	11661
621	19122	11620
622	19125	11573
623	19127	11525
624	19129	11477
625	19305	11534
626	19308	11486
627	19408	11496
628	19409	11448
629	19411	11400
630	19412	11352
631	19419	11307
632	19421	11260
633	19506	11260
634	19508	11213
635	19509	11165
636	19511	11118
637	19513	11071
638	19514	11024
639	19516	10978
640	19518	10931
641	19519	10884
642	19521	10838
643	19523	10792
644	19524	10746
645	19526	10700
646	19528	10654
647	19606	10650
648	19609	10605
649	19611	10559
650	19619	10518
651	19621	10472
652	19622	10427
653	19624	10382
654	19626	10337
655	19628	10292
656	19649	10258
657	19651	10214
658	19655	10170
659	19657	10126
660	19743	10125
661	19838	10128
662	19841	10085
663	19860	10049
664	19862	10005
665	19864	9962
666	19922	9946
667	19931	9905
668	19933	9862
669	20026	9863
670	20028	9820
671	20030	9776
672	20032	9733
673	20034	9690
674	20035	9646
675	20037	9603
676	20039	9560
677	20047	9520
678	20054	9480
679	20110	9463
680	20113	9421
681	20115	9379
682	20322	9432
683	20430	9438
684	20432	9396
685	20435	9353
686	20437	9311
687	20521	9306
688	20523	9263
689	20524	9221
690	20526	9179
691	20528	9136
692	20530	9094
693	20531	9053
694	20535	9011
695	20537	8970
696	20634	8970
697	20635	8928
698	20638	8887
699	20641	8846
700	20643	8804
701	20644	8763
702	20646	8722
703	20647	8681
704	20709	8665
705	20715	8626
706	20717	8585
707	20720	8545
708	20722	8505
709	20724	8464
710	20820	8462
711	20821	8422
712	20824	8382
713	20826	8342
714	20828	8302
715	20915	8296
716	20916	8255
717	20918	8215
718	20920	8176
719	20922	8136
720	20923	8096
721	20925	8057
722	20927	8017
723	20928	7978
724	20930	7939
725	20932	7899
726	20933	7860
727	20935	7822
728	20938	7783
729	20940	7745
730	20942	7706
731	20944	7668
732	20946	7629
733	20947	7591
734	21002	7572
735	21008	7535
736	21015	7499
737	21017	7461
738	21018	7423
739	21020	7385
740	21022	7347
741	21023	7310
742	21031	7274
743	21033	7237
744	21034	7199
745	21036	7162
746	21093	7144
747	21209	7145
748	21211	7108
749	21213	7071
750	21214	7033
751	21216	6996
752	21318	6992
753	21320	6955
754	21322	6919
755	21324	6882
756	21328	6846
757	21337	6812
758	21398	6794
759	21400	6758
760	21404	6722
761	21406	6685
762	21407	6649
763	21409	6613
764	21411	6577
765	21413	6541
766	21414	6505
767	21416	6469
768	21418	6433
769	21420	6398
770	21426	6363
771	21427	6328
772	21429	6292
773	21430	6257
774	21432	6222
775	21433	6187
776	21435	6151
777	21436	6116
778	21438	6082
779	21439	6047
780	21498	6028
781	21505	5995
782	21508	5960
783	21510	5926
784	21512	5891
785	21514	5857
786	21515	5823
787	21517	5789
788	21519	5754
789	21521	5720
790	21523	5686
791	21524	5652
792	21526	5619
793	21528	5585
794	21529	5551
795	21531	5518
796	21533	5484
797	21534	5451
798	21617	5438
799	21619	5404
800	21620	5371
801	21622	5338
802	21624	5305
803	21625	5271
804	21627	5238
805	21628	5205
806	21630	5173
807	21632	5140
808	21634	5107
809	21635	5075
810	21637	5042
811	21639	5010
812	21694	4989
813	21716	4962
814	21717	4929
815	21719	4897
816	21720	4865
817	21721	4832
818	21723	4800
819	21724	4768
820	21726	4736
821	21727	4704
822	21728	4673
823	21730	4641
824	21731	4609
825	21733	4578
826	21734	4546
827	21735	4515
828	21737	4483
829	21738	4452
830	21739	4421
831	21741	4390
832	21793	4369
833	21798	4338
834	21799	4307
835	21801	4276
836	21802	4245
837	21804	4215
838	21805	4184
839	21807	4153
840	21808	4123
841	21810	4092
842	21811	4062
843	21812	4031
844	21814	4001
845	21816	3971
846	21817	3941
847	21819	3911
848	21821	3881
849	21822	3851
850	21824	3821
851	21825	3791
852	21827	3761
853	21828	3731
854	21830	3702
855	21831	3672
856	21833	3643
857	21834	3613
858	21836	3584
859	21837	3554
860	21839	3525
861	21886	3503
862	21892	3475
863	21894	3446
864	21895	3417
865	21897	3388
866	21898	3359
867	21900	3330
868	21902	3301
869	21903	3272
870	21905	3244
871	21906	3215
872	21908	3187
873	21909	3158
874	21910	3130
875	21912	3101
876	21913	3073
877	21915	3045
878	21916	3016
879	21918	2988
880	21919	2960
881	21921	2932
882	21922	2904
883	21924	2876
884	21925	2849
885	21927	2821
886	21928	2793
887	21929	2765
888	21931	2738
889	21933	2710
890	21991	2690
891	21993	2662
892	21995	2635
893	21997	2608
894	21998	2580
895	22000	2553
896	22002	2526
897	22003	2499
898	22005	2472
899	22007	2445
900	22008	2418
901	22010	2391
902	22011	2364
903	22013	2337
904	22015	2310
905	22016	2284
906	22018	2257
907	22019	2231
908	22021	2204
909	22023	2178
910	22024	2151
911	22026	2125
912	22027	2099
913	22029	2072
914	22030	2046
915	22032	2020
916	22090	1999
917	22092	1973
918	22094	1947
919	22095	1921
920	22097	1895
921	22098	1869
922	22100	1843
923	22102	1817
924	22103	1792
925	22105	1766
926	22106	1740
927	22108	1715
928	22109	1689
929	22111	1664
930	22112	1638
931	22114	1613
932	22116	1588
933	22117	1562
934	22119	1537
935	22120	1512
936	22122	1487
937	22123	1462
938	22125	1437
939	22126	1412
940	22127	1387
941	22129	1362
942	22130	1337
943	22186	1316
944	22192	1291
945	22194	1266
946	22196	1242
947	22198	1217
948	22199	1193
949	22201	1168
950	22203	1144
951	22204	1119
952	22206	1095
953	22208	1070
954	22209	1046
955	22211	1022
956	22213	998
957	22214	973
958	22216	949
959	22218	925
960	22220	901
961	22222	877
962	22223	853
963	22225	829
964	22226	806
965	22228	782
966	22282	760
967	22286	736
968	22287	713
969	22289	689
970	22291	665
971	22292	642
972	22294	618
973	22295	595
974	22297	571
975	22298	548
976	22300	524
977	22302	501
978	22303	478
979	22305	455
980	22306	432
981	22308	408
982	22309	385
983	22310	362
984	22312	339
985	22314	316
986	22316	293
987	22317	271
988	22318	248
989	22320	225
990	22321	202
991	22323	180
992	22381	157
993	22386	135
994	22387	112
995	22389	89
996	22390	67
997	22392	44
998	22393	22
999	22395	0
